Team,Date,Time,Day,Venue,Result,GF,GA,Opponent
Aegean Hawks FC,2022-09-11,20:00,Sunday,Home,W,3,2,World Class Premier
Aegean Hawks FC,2022-09-21,21:00,Wednesday,Home,W,8,1,Borussia Dulles
Aegean Hawks FC,2022-09-25,18:00,Sunday,Home,W,2,1,Los Toros
Aegean Hawks FC,2022-10-02,20:00,Sunday,Away,W,7,0,Esperion
Aegean Hawks FC,2022-10-09,20:00,Sunday,Home,L,0,2,Tysons City FC
Aegean Hawks FC,2022-10-16,20:00,Sunday,Away,W,3,0,Fighting Bods
Aegean Hawks FC,2022-10-23,20:00,Sunday,Away,W,3,0,K Crew
Aegean Hawks FC,2022-10-30,20:00,Sunday,Away,W,6,1,Inter Virginia
Aegean Hawks FC,2022-11-06,20:00,Sunday,Home,W,3,1,Yinz United
Aegean Hawks FC,2022-11-20,20:00,Sunday,Home,L,0,1,Los Toros
Borussia Dulles,2022-09-11,20:00,Sunday,Away,L,1,8,Los Toros
Borussia Dulles,2022-09-21,21:00,Wednesday,Away,L,1,8,Aegean Hawks FC
Borussia Dulles,2022-09-25,20:00,Sunday,Home,L,2,12,Fighting Bods
Borussia Dulles,2022-10-02,20:00,Sunday,Home,L,1,6,Inter Virginia
Borussia Dulles,2022-10-09,20:00,Sunday,Away,L,0,9,World Class Premier
Borussia Dulles,2022-10-16,20:00,Sunday,Away,L,1,4,Esperion
Borussia Dulles,2022-10-23,18:00,Sunday,Away,L,0,3,Yinz United
Borussia Dulles,2022-10-30,20:00,Sunday,Away,L,1,8,K Crew
Borussia Dulles,2022-11-06,20:00,Sunday,Home,L,0,3,Tysons City FC
Esperion,2022-09-11,18:00,Sunday,Away,L,2,3,Inter Virginia
Esperion,2022-09-18,18:00,Sunday,Away,L,0,3,Tysons City FC
Esperion,2022-09-25,18:00,Sunday,Away,W,1,0,K Crew
Esperion,2022-10-02,20:00,Sunday,Home,L,0,7,Aegean Hawks FC
Esperion,2022-10-09,20:00,Sunday,Home,L,0,4,Yinz United
Esperion,2022-10-16,20:00,Sunday,Home,W,4,1,Borussia Dulles
Esperion,2022-10-23,20:00,Sunday,Home,L,3,4,Fighting Bods
Esperion,2022-10-30,20:00,Sunday,Home,L,1,6,World Class Premier
Esperion,2022-11-06,20:00,Sunday,Away,L,0,5,Los Toros
Fighting Bods,2022-09-11,20:00,Sunday,Home,D,1,1,Yinz United
Fighting Bods,2022-09-18,20:00,Sunday,Away,L,0,1,Los Toros
Fighting Bods,2022-09-25,20:00,Sunday,Away,W,12,2,Borussia Dulles
Fighting Bods,2022-10-02,20:00,Sunday,Away,W,7,2,K Crew
Fighting Bods,2022-10-09,19:00,Sunday,Away,L,4,5,Inter Virginia
Fighting Bods,2022-10-16,20:00,Sunday,Home,L,0,3,Aegean Hawks FC
Fighting Bods,2022-10-23,20:00,Sunday,Away,W,4,3,Esperion
Fighting Bods,2022-10-30,20:00,Sunday,Away,W,5,2,Tysons City FC
Fighting Bods,2022-11-06,19:00,Sunday,Away,W,3,2,World Class Premier
